smk_id,smk_latitude,smk_longitude,wof_id,wof_parentid,wof_name,wof_placetype
18,55.681347,12.5757299,101749159,1159297727,Copenhagen,locality
18,55.681347,12.5757299,85682581,85633121,Capital,region
18,55.681347,12.5757299,85906013,101749159,Kultorvet,neighbourhood
18,55.681347,12.5757299,1159297727,85682581,Copenhagen,localadmin
18,55.681347,12.5757299,85633121,102191581,Denmark,country
67,55.69279191875453,12.6047089540039,101749159,1159297727,Copenhagen,locality
67,55.69279191875453,12.6047089540039,85905843,101749159,Bradbænken,neighbourhood
68,55.692896377902,12.605738922265619,101749159,1159297727,Copenhagen,locality
68,55.692896377902,12.605738922265619,85905843,101749159,Bradbænken,neighbourhood
66,55.69244184665181,12.603164001611322,85906115,101749159,Poul Ankers Gade,neighbourhood
66,55.69244184665181,12.603164001611322,101749159,1159297727,Copenhagen,locality
71,55.64223393909629,12.086617112618248,101818285,1394013999,Roskilde,locality
71,55.64223393909629,12.086617112618248,85682589,85633121,Zealand,region
71,55.64223393909629,12.086617112618248,85633121,102191581,Denmark,country
71,55.64223393909629,12.086617112618248,1394013999,85682589,Roskilde,localadmin
71,55.64223393909629,12.086617112618248,1159297881,85682589,Ballerup,localadmin
102,57.44439686522018,10.536326777893063,101817303,1394014001,Frederikshavn,locality
102,57.44439686522018,10.536326777893063,85633121,102191581,Denmark,country
102,57.44439686522018,10.536326777893063,85682593,85633121,North Jutland,region
102,57.44439686522018,10.536326777893063,1394014001,85682593,Frederikshavn,localadmin
102,57.44439686522018,10.536326777893063,1159297889,85682593,Assens,localadmin
105,61.85012460671276,-6.767464125872801,85633153,136253045,Faroe Islands,dependency
70,55.67634666739197,12.587949512316898,85906061,101749159,Niels Juels Gade,neighbourhood
70,55.67634666739197,12.587949512316898,101749159,1159297727,Copenhagen,locality
70,55.67634666739197,12.587949512316898,1159297727,85682581,Copenhagen,localadmin
70,55.67634666739197,12.587949512316898,85633121,102191581,Denmark,country
74,55.69508794415736,12.568656113244616,85906139,101749159,Rørholmsgade,neighbourhood
74,55.69508794415736,12.568656113244616,85682581,85633121,Capital,region
74,55.69508794415736,12.568656113244616,1159297727,85682581,Copenhagen,localadmin
74,55.69508794415736,12.568656113244616,101749159,1159297727,Copenhagen,locality
74,55.69508794415736,12.568656113244616,85633121,102191581,Denmark,country
113,55.12651977501195,12.024719513183587,85682589,85633121,Zealand,region
113,55.12651977501195,12.024719513183587,85633121,102191581,Denmark,country
113,55.12651977501195,12.024719513183587,1159297907,85682589,Jammerbugt,localadmin
113,55.12651977501195,12.024719513183587,1394013993,85682589,Vordingborg,localadmin
117,55.462007521213074,11.69621003340759,1394014123,85682589,Ringsted,localadmin
117,55.462007521213074,11.69621003340759,1159297777,85682589,Hillerod,localadmin
117,55.462007521213074,11.69621003340759,85682589,85633121,Zealand,region
117,55.462007521213074,11.69621003340759,85633121,102191581,Denmark,country
73,55.67021966204052,12.50839394039919,85682581,85633121,Capital,region
73,55.67021966204052,12.50839394039919,101749159,1159297727,Copenhagen,locality
73,55.67021966204052,12.50839394039919,1394014135,85682581,Frederiksberg,localadmin
73,55.67021966204052,12.50839394039919,1159297879,85682581,Roskilde,localadmin
73,55.67021966204052,12.50839394039919,85906361,101749159,Vålby,neighbourhood
73,55.67021966204052,12.50839394039919,85633121,102191581,Denmark,country
65,55.28042600400099,12.446495952392596,85682589,85633121,Zealand,region
65,55.28042600400099,12.446495952392596,1159297719,85682589,Stevns,localadmin
65,55.28042600400099,12.446495952392596,85633121,102191581,Denmark,country
72,55.67020506204127,12.508479771087666,85682581,85633121,Capital,region
72,55.67020506204127,12.508479771087666,85906361,101749159,Vålby,neighbourhood
72,55.67020506204127,12.508479771087666,1394014135,85682581,Frederiksberg,localadmin
72,55.67020506204127,12.508479771087666,1159297879,85682581,Roskilde,localadmin
72,55.67020506204127,12.508479771087666,101749159,1159297727,Copenhagen,locality
